model,dataset,method,layer,auroc,auroc_std,accuracy,f1,auprc
llama3.1-8b,synthetic,probe_linear,12,0.9989583333333334,0.001062295731998525,0.9833333333333334,0.9832265458144501,0.9990070192853091
llama3.1-8b,synthetic,probe_linear,13,0.999375,0.0005103103630798179,0.9916666666666667,0.9917695473251028,0.9993851626016261
llama3.1-8b,synthetic,probe_linear,14,0.9995833333333334,0.000589255650988777,0.9958333333333332,0.9958847736625515,0.9995884146341464
llama3.1-8b,synthetic,probe_linear,15,0.9991666666666666,0.0011785113019776065,0.9916666666666667,0.9916666666666667,0.9991554411748571
llama3.1-8b,synthetic,probe_linear,16,0.9991666666666666,0.000589255650988777,0.9874999999999999,0.9873377651155429,0.9991819105691057
llama3.1-8b,synthetic,probe_linear,17,0.9995833333333334,0.000589255650988777,0.9875000000000002,0.9875514403292182,0.9995884146341464
llama3.1-8b,synthetic,probe_linear,18,0.999375,0.0008838834764832179,0.9875000000000002,0.9875514403292182,0.9993747394204711
llama3.1-8b,synthetic,probe_linear,19,0.999375,0.0008838834764831656,0.9708333333333332,0.9716784244562021,0.9993747394204712
llama3.1-8b,synthetic,probe_linear,20,0.9983333333333334,0.0011785113019775802,0.9666666666666667,0.9676635694928377,0.9984166205241786
llama3.1-8b,synthetic,probe_linear,21,0.9977083333333333,0.0017921510973005522,0.9625,0.9639287422285987,0.9977584218396642
llama3.1-8b,synthetic,probe_linear,22,0.9974999999999999,0.002041241452319362,0.9333333333333332,0.9373120708894715,0.9976951198026779
llama3.1-8b,synthetic,probe_linear,23,0.9991666666666666,0.001178511301977554,0.9583333333333334,0.9602997317070289,0.9992063492063492
llama3.1-8b,synthetic,probe_linear,24,0.9983333333333334,0.001178511301977554,0.9375,0.9402130436613195,0.9983617903812063
llama3.1-8b,synthetic,probe_linear,25,0.9979166666666668,0.0015590239111557757,0.9499999999999998,0.9515209906417811,0.9979451237145396
llama3.1-8b,synthetic,probe_linear,26,0.9958333333333332,0.004249182927993998,0.9500000000000001,0.9509578544061302,0.9961923411803341
llama3.1-8b,synthetic,probe_linear,27,0.99625,0.005303300858899098,0.9458333333333333,0.9461530496013255,0.9966737134024369
llama3.1-8b,synthetic,probe_linear,28,0.9979166666666667,0.0029462782549439376,0.9291666666666667,0.9255610290093048,0.9981481481481481
llama3.1-8b,synthetic,probe_linear,29,0.9987499999999999,0.0017677669529663313,0.9125,0.9024730059212818,0.9987896825396826
llama3.1-8b,synthetic,probe_linear,30,0.9991666666666666,0.001178511301977554,0.9666666666666667,0.9674051438757321,0.9992063492063492
llama3.1-8b,synthetic,probe_linear,31,0.9991666666666666,0.001178511301977554,0.9458333333333334,0.9524065127929862,0.9992063492063492
llama3.1-8b,synthetic,probe_linear,32,1.0,0.0,0.9333333333333332,0.9379277572048657,1.0
llama3.1-8b,synthetic,probe_mlp,0,0.7816666666666666,0.027340128728462254,0.6458333333333334,0.626916221033868,0.8113300324247615
llama3.1-8b,synthetic,probe_mlp,1,0.79,0.037249161064378346,0.6666666666666666,0.6633931469374507,0.8149600874553826
llama3.1-8b,synthetic,probe_mlp,2,0.7964583333333333,0.03578121209362378,0.6958333333333334,0.7016939420040195,0.8112667369722882
llama3.1-8b,synthetic,probe_mlp,3,0.9108333333333333,0.03041523969255469,0.7999999999999999,0.7988222542097194,0.9132417766374415
llama3.1-8b,synthetic,probe_mlp,4,0.946875,0.019889014974771014,0.8708333333333332,0.8718868992487393,0.9524948399254871
llama3.1-8b,synthetic,probe_mlp,5,0.9545833333333332,0.0196607512290067,0.8833333333333334,0.8859073742794674,0.9597022064944714
llama3.1-8b,synthetic,probe_mlp,6,0.9852083333333334,0.011595766708396387,0.9249999999999999,0.9274720893141946,0.9867658820341308
llama3.1-8b,synthetic,probe_mlp,7,0.9914583333333334,0.006660153067977404,0.9583333333333334,0.9577935777302865,0.9924548184743666
